DATE,OPEN,HIGH,CLOSE,LOW,SHARES_TRADED
2016-03-08,7486.4,7527.15,7485.3,7442.15,264945393.0
2016-03-09,7436.1,7539.0,7531.8,7424.3,252709391.0
2016-03-10,7545.35,7547.1,7486.15,7447.4,231584305.0
2016-03-11,7484.85,7543.95,7510.2,7460.6,204806572.0
2016-03-14,7542.6,7583.7,7538.75,7515.05,172067214.0
2016-03-15,7535.85,7545.2,7460.6,7452.8,199653871.0
2016-03-16,7457.05,7508.0,7498.75,7405.15,201430035.0
2016-03-17,7557.4,7585.3,7512.55,7479.4,247043954.0
2016-03-18,7534.65,7613.6,7604.35,7517.9,244727490.0
2016-03-21,7619.2,7713.55,7704.25,7617.7,202853386.0
2016-03-22,7695.55,7728.2,7714.9,7643.8,215355848.0
2016-03-23,7717.45,7726.85,7716.5,7670.6,205794773.0
2016-03-28,7741.0,7749.4,7615.1,7587.7,249905118.0
2016-03-29,7606.55,7652.9,7597.0,7582.25,223493457.0
2016-03-30,7651.1,7741.95,7735.2,7643.45,239843751.0
2016-03-31,7727.65,7777.6,7738.4,7702.0,391914059.0
2016-04-01,7718.05,7740.15,7713.05,7666.1,189571551.0
2016-04-04,7733.15,7764.45,7758.8,7704.4,160277940.0
2016-04-05,7736.3,7736.3,7603.2,7588.65,210126897.0
2016-04-06,7636.05,7638.65,7614.35,7591.75,170653808.0
2016-04-07,7630.4,7630.75,7546.45,7535.85,241684050.0
2016-04-08,7542.35,7569.35,7555.2,7526.7,147816460.0
2016-04-11,7577.8,7678.8,7671.4,7516.85,185353268.0
2016-04-12,7669.25,7717.4,7708.95,7663.35,168508978.0
2016-04-13,7777.15,7864.8,7850.45,7772.2,227217288.0
2016-04-18,7908.15,7920.6,7914.7,7842.75,190258561.0
2016-04-20,7950.05,7950.4,7914.75,7877.55,211630060.0
2016-04-21,7953.65,7978.45,7912.05,7884.1,230577117.0
2016-04-22,7891.8,7923.35,7899.3,7873.35,188988540.0
2016-04-25,7894.8,7911.0,7855.05,7827.0,150776959.0
2016-04-26,7828.15,7974.5,7962.65,7822.55,208656803.0
2016-04-27,7942.0,7991.0,7979.9,7940.55,213174058.0
2016-04-28,7967.4,7992.0,7847.25,7834.45,301485186.0
2016-04-29,7844.25,7889.05,7849.8,7788.7,251227047.0
2016-05-02,7822.7,7829.8,7805.9,7777.3,150818181.0
2016-05-03,7824.8,7890.25,7747.0,7735.15,192271370.0
2016-05-04,7724.15,7749.0,7706.55,7697.25,205939089.0
2016-05-05,7731.0,7777.55,7735.5,7706.85,190792828.0
2016-05-06,7717.65,7738.9,7733.45,7678.35,168662226.0
2016-05-09,7755.25,7873.65,7866.05,7753.55,165616829.0
2016-05-10,7873.55,7896.9,7887.8,7837.7,166957276.0
2016-05-11,7804.65,7893.1,7848.85,7780.9,220712496.0
